source_text;ipa
ɓilirgol;ɓ i l i r ɡ o l
ɓillaare;ɓ i l l aː r e
ɓillitaade;ɓ i l l i t aː d e
ɓillitinde;ɓ i l l i t i n d e
ɓillude;ɓ i l l u d e
ɓiltude;ɓ i l t u d e
ɓilude;ɓ i l u d e
ɓinndoore;ɓ i n n d oː r e
ɓinngel;ɓ i n ŋ ɡ e l
ɓinngel ceccel;ɓ i n ŋ ɡ e l   c e c c e l
ɓinngel keccel;ɓ i n ŋ ɡ e l   k e c c e l
ɓinngel musinoowel;ɓ i n ŋ ɡ e l   m u s i n oː w e l
ɓinnyude;ɓ i n n j u d e
ɓireteenge;ɓ i r e t eː ŋ ɡ e
ɓirnude;ɓ i r n u d e
ɓirude;ɓ i r u d e
ɓoccinoowel;ɓ o c c i n oː w e l
ɓoccongel;ɓ o c c o ŋ ɡ e l
ɓoccoode;ɓ o c c oː d e
ɓoccoonde;ɓ o c c oː n d e
ɓoccude;ɓ o c c u d e
ɓodde;ɓ o d d e
ɓodde bita;ɓ o d d e   b i t a
ɓoddere;ɓ o d d e r e
ɓodude;ɓ o d u d e
ɓoɗde;ɓ o ɗ d e
ɓoɗe;ɓ o ɗ e
ɓoggol;ɓ o ɡ ɡ o l
ɓoggol fitilla;ɓ o ɡ ɡ o l   f i t i l l a
ɓoggol-leydi;ɓ o ɡ ɡ o l - l e j d i
ɓohere;ɓ o h e r e
ɓokki;ɓ o k k i
ɓokko;ɓ o k k o
ɓol;ɓ o l
ɓolaade;ɓ o l aː d e
ɓoldeeru;ɓ o l d eː r u
ɓolɗin-a;ɓ o l ɗ i n - a
ɓolɗinde;ɓ o l ɗ i n d e
ɓolɗingol;ɓ o l ɗ i ŋ ɡ o l
ɓolɗude;ɓ o l ɗ u d e
ɓollere;ɓ o l l e r e
ɓolmiɗidde;ɓ o l m i ɗ i d d e
ɓolminde;ɓ o l m i n d e
ɓolndu;ɓ o l n d u
ɓoltindaade;ɓ o l t i n d aː d e
ɓoltude;ɓ o l t u d e
ɓolum;ɓ o l u m
ɓonngu;ɓ o n ŋ ɡ u
ɓoodude;ɓ oː d u d e
ɓooɗa;ɓ oː ɗ a
ɓooɗde-ndiyam;ɓ oː ɗ d e - n d i j a m
ɓooɗe;ɓ oː ɗ e
ɓoohi1;ɓ oː h i 1
ɓoohi2;ɓ oː h i 2
ɓoola;ɓ oː l a
ɓoolol;ɓ oː l o l
ɓooltaade;ɓ oː l t aː d e
ɓooltannde;ɓ oː l t a n n d e
ɓoominde;ɓ oː m i n d e
ɓoomude;ɓ oː m u d e
ɓoongu;ɓ oː ŋ ɡ u
ɓoornaade;ɓ oː r n aː d e
ɓoornorde;ɓ oː r n o r d e
ɓoornude;ɓ oː r n u d e
ɓoornude laamu;ɓ oː r n u d e   l aː m u
ɓoortaade laamu;ɓ oː r t aː d e   l aː m u
ɓoortannde;ɓ oː r t a n n d e
ɓoortude;ɓ oː r t u d e
ɓoortude laamu;ɓ oː r t u d e   l aː m u
ɓoosaaru;ɓ oː s aː r u
ɓoosiɗinde;ɓ oː s i ɗ i n d e
ɓoosinɗinde;ɓ oː s i n ɗ i n d e
ɓoosude;ɓ oː s u d e
ɓoosude nguru;ɓ oː s u d e   ŋ ɡ u r u
ɓoowunga;ɓ oː w u ŋ ɡ a
ɓooyataa;ɓ oː j a t aː
ɓooyeefi;ɓ oː j eː f i
ɓooyol;ɓ oː j o l
ɓooyre;ɓ oː j r e
ɓooytude;ɓ oː j t u d e
ɓooyude;ɓ oː j u d e
ɓooƴe;ɓ oː ʔʲ e
ɓoptude;ɓ o p t u d e
ɓorɓa;ɓ o r ɓ a
ɓoreede;ɓ o r eː d e
ɓornaade;ɓ o r n aː d e
ɓornude;ɓ o r n u d e
ɓorowol;ɓ o r o w o l
ɓortaade;ɓ o r t aː d e
ɓortude;ɓ o r t u d e
ɓorude;ɓ o r u d e
ɓorwuɗum;ɓ o r w u ɗ u m
ɓota;ɓ o t a
ɓotel;ɓ o t e l
ɓuttiɗinde;ɓ u t t i ɗ i n d e
ɓuttinɗinde;ɓ u t t i n ɗ i n d e
ɓuuɓal;ɓ uː ɓ a l
ɓuuɓol;ɓ uː ɓ o l
ɓuuɓude;ɓ uː ɓ u d e
ɓuuccaade;ɓ uː c c aː d e
ɓuuddi;ɓ uː d d i
ɓuure;ɓ uː r e
ɓuure ɓaleere;ɓ uː r e   ɓ a l eː r e
ɓuure mawnde;ɓ uː r e   m a w n d e
ɓuusoonde;ɓ uː s oː n d e
ɓuutude;ɓ uː t u d e
ɓuuye;ɓ uː j e
ɓuuye-gite;ɓ uː j e - ɡ i t e
ɓuygi;ɓ u j ɡ i
ɓuytaa;ɓ u j t aː
ɓuytaade;ɓ u j t aː d e
ɓuytagol ndiyam sanne ley tergal;ɓ u j t a ɡ o l   n d i j a m   s a n n e   l e j   t e r ɡ a l
ɓuytee;ɓ u j t eː
ɓuytude;ɓ u j t u d e
ɓuytude jukkere;ɓ u j t u d e   ɟ u k k e r e
ɓuytugol semmbe buuɗi;ɓ u j t u ɡ o l   s e m m b e   b uː ɗ i
ɓuƴude semmbe;ɓ u ʔʲ u d e   s e m m b e
caabeeje;c aː b eː ɟ e
caacaa;c aː c aː
caahiiɗo;c aː h iː ɗ o
caahu1;c aː h u 1
caahu2;c aː h u 2
caahu3;c aː h u 3
caahuuji yimɓe ajal;c aː h uː ɟ i   j i m ɓ e   a ɟ a l
caaju;c aː ɟ u
caaku;c aː k u
caanaade;c aː n aː d e
caara1;c aː r a 1
caara2;c aː r a 2
caarol;c aː r o l
caasorgal;c aː s o r ɡ a l
caatagol;c aː t a ɡ o l
caattaade;c aː t t aː d e
caayol;c aː j o l
cabbam;c a b b a m
cabbi;c a b b i
cabbi becce;c a b b i   b e c c e
cabgaaje;c a b ɡ aː ɟ e
cabiihi;c a b iː h i
cabiire;c a b iː r e
cabijam;c a b i ɟ a m
caɓɓurli;c a ɓ ɓ u r l i
caabeeje;c aː b eː ɟ e
caacaa;c aː c aː
caahiiɗo;c aː h iː ɗ o
caahu1;c aː h u 1
caahu2;c aː h u 2
caahu3;c aː h u 3
caahuuji yimɓe ajal;c aː h uː ɟ i   j i m ɓ e   a ɟ a l
caaju;c aː ɟ u
caaku;c aː k u
caanaade;c aː n aː d e
caara1;c aː r a 1
caara2;c aː r a 2
caarol;c aː r o l
caasorgal;c aː s o r ɡ a l
caatagol;c aː t a ɡ o l
caattaade;c aː t t aː d e
caayol;c aː j o l
cabbam;c a b b a m
cabbi;c a b b i
cabbi becce;c a b b i   b e c c e
cabgaaje;c a b ɡ aː ɟ e
cabiihi;c a b iː h i
cabiire;c a b iː r e
cabijam;c a b i ɟ a m
caɓɓurli;c a ɓ ɓ u r l i
caccuɗi-burgal;c a c c u ɗ i - b u r ɡ a l
caddi;c a d d i
cafaaje;c a f aː ɟ e
cafaaje cakkorɗe ndimu moɗeteeɗe;c a f aː ɟ e   c a k k o r ɗ e   n d i m u   m o ɗ e t eː ɗ e
cafaaje puufeteeɗe leɗɗe;c a f aː ɟ e   p uː f e t eː ɗ e   l e ɗ ɗ e
caggal;c a ɡ ɡ a l
cagiije;c a ɡ iː ɟ e
cak;c a k
cakaawo;c a k aː w o
cakitiiɗo;c a k i t iː ɗ o
cakitte;c a k i t t e
calɗi;c a l ɗ i
callalol;c a l l a l o l
calle;c a l l e
callugol;c a l l u ɡ o l
caltuki haala;c a l t u k i   h aː l a
camal;c a m a l
camcammooli;c a m c a m m oː l i
cami;c a m i
camirgal;c a m i r ɡ a l
cammalal;c a m m a l a l
cammam;c a m m a m
cammbol;c a m m b o l
cammeeri;c a m m eː r i
cammingol;c a m m i ŋ ɡ o l
camor;c a m o r
cancanƴowal;c a n c a n ʔʲ o w a l
cancorgal;c a n c o r ɡ a l
canjorgol;c a n ɟ o r ɡ o l
canke;c a n k e
canku lenku;c a n k u   l e n k u
cankumeesu;c a n k u m eː s u
cannyoowo;c a n n j oː w o
cante;c a n t e
canycanyɗowal;c a n j c a n j ɗ o w a l
canyorgal;c a n j o r ɡ a l
canyri;c a n j r i
canyu;c a n j u
caŋale;c a ŋ a l e
cap;c a p
capanɗe;c a p a n ɗ e
capanɗe joy;c a p a n ɗ e   ɟ o j
capanɗe nay;c a p a n ɗ e   n a j
capanɗe tati;c a p a n ɗ e   t a t i
capanɗe-jeegom;c a p a n ɗ e - ɟ eː ɡ o m
cappaaɗo;c a p p aː ɗ o
Cappaato;c a p p aː t o
cappalo;c a p p a l o
cappinɗo;c a p p i n ɗ o
capporɗi;c a p p o r ɗ i
capporgel;c a p p o r ɡ e l
caral;c a r a l
cardi;c a r d i
carɗinaaɗo battaare;c a r ɗ i n aː ɗ o   b a t t aː r e
careteeɗo;c a r e t eː ɗ o
carotooɗo;c a r o t oː ɗ o
cartol;c a r t o l
catal;c a t a l
cawcawuuru;c a w c a w uː r u
cawgal;c a w ɡ a l
cawndol;c a w n d o l
cawpotal;c a w p o t a l
cawraagu;c a w r aː ɡ u
cawrirɗum;c a w r i r ɗ u m
cawrooro;c a w r oː r o
cawroowo;c a w r oː w o
cay;c a j
cayam;c a j a m
caycayɗowal;c a j c a j ɗ o w a l
caygal;c a j ɡ a l
cayki;c a j k i
caytaro;c a j t a r o
ceblaare;c e b l aː r e
ceɓal;c e ɓ a l
ceɓel leɓel;c e ɓ e l   l e ɓ e l
ceceena;c e c eː n a
ceda;c e d a
Ceɗɗo;c e ɗ ɗ o
ceede;c eː d e
ceedotooɗo;c eː d o t oː ɗ o
ceeɗu;c eː ɗ u
ceegaaru;c eː ɡ aː r u
ceekal;c eː k a l
ceeke;c eː k e
ceekol1;c eː k o l 1
ceekol2;c eː k o l 2
ceekoy;c eː k o j
ceeku;c eː k u
ceelirgal;c eː l i r ɡ a l
ceelirki;c eː l i r k i
ceelol;c eː l o l
ceen;c eː n
ceene;c eː n e
ceergal;c eː r ɡ a l
ceerndugol;c eː r n d u ɡ o l
ceerol;c eː r o l
ceertugol;c eː r t u ɡ o l
cefgal;c e f ɡ a l
cegaade;c e ɡ aː d e
cehe;c e h e
cekke;c e k k e
celaaɗo;c e l aː ɗ o
celɓol;c e l ɓ o l
celduɗi;c e l d u ɗ i
celem;c e l e m
cellal;c e l l a l
cellal hakkillo;c e l l a l   h a k k i l l o
cellebodo;c e l l e b o d o
celluɗo;c e l l u ɗ o
celluka;c e l l u k a
Celo;c e l o
celol;c e l o l
celol laawol;c e l o l   l aː w o l
cemmbam;c e m m b a m
cemtuɗo;c e m t u ɗ o
cenaare;c e n aː r e
cenda;c e n d a
cendal;c e n d a l
Ceniiɗo;c e n iː ɗ o
cenndi ɗemngal;c e n n d i   ɗ e m ŋ ɡ a l
cenndiiɗo;c e n n d iː ɗ o
cenndiigu;c e n n d iː ɡ u
ceŋal;c e ŋ a l
ceŋginii;c e ŋ ɡ i n iː
ceppam;c e p p a m
cereeli;c e r eː l i
cerem;c e r e m
cergaare;c e r ɡ aː r e
Cerno;c e r n o
cettal;c e t t a l
cettirgal;c e t t i r ɡ a l
cettungol;c e t t u ŋ ɡ o l
cewɗe;c e w ɗ e
cewɗi;c e w ɗ i
cewle;c e w l e
cewungol;c e w u ŋ ɡ o l
ceyiiɗo;c e j iː ɗ o
ci'e;c i ʔ e
ciɓitel;c i ɓ i t e l
cicciɗam;c i c c i ɗ a m
cicciɗingol;c i c c i ɗ i ŋ ɡ o l
cifaaɗum;c i f aː ɗ u m
cifol;c i f o l
ciforɗi;c i f o r ɗ i
ciforgol mbaadi;c i f o r ɡ o l   m b aː d i
ciforgol sapporde;c i f o r ɡ o l   s a p p o r d e
cifotooɗum;c i f o t oː ɗ u m
ciftol;c i f t o l
ciiɓ-ciiɓolal;c iː ɓ - c iː ɓ o l a l
ciiɓociiɓongal;c iː ɓ o c iː ɓ o ŋ ɡ a l
ciiɓooli;c iː ɓ oː l i
ciicibalawal;c iː c i b a l a w a l
ciidi;c iː d i
ciidiire;c iː d iː r e
Ciiɗo;c iː ɗ o
ciifi;c iː f i
ciifol;c iː f o l
ciikaali;c iː k aː l i
ciilugaare;c iː l u ɡ aː r e
ciiluguwal;c iː l u ɡ u w a l
ciimtol;c iː m t o l
ciinal;c iː n a l
ciiwal;c iː w a l
ciiwdi;c iː w d i
ciiwel;c iː w e l
ciiwirgal;c iː w i r ɡ a l
ciiwoowo;c iː w oː w o
ciiwrugal;c iː w r u ɡ a l
cikkaade;c i k k aː d e
cikkude;c i k k u d e
cikootuwal;c i k oː t u w a l
cile;c i l e
ciliiliwal;c i l iː l i w a l
cilimooƴo;c i l i m oː ʔʲ o
cille;c i l l e
cille bulɗe;c i l l e   b u l ɗ e
cille-dawaaɗi;c i l l e - d a w aː ɗ i
cilluki;c i l l u k i
cilo;c i l o
ciloomuwal;c i l oː m u w a l
cimcimgal;c i m c i m ɡ a l
cimtinirɗe;c i m t i n i r ɗ e
cincinngal;c i n c i n ŋ ɡ a l
cinnde-jowe;c i n n d e - ɟ o w e
cintinirɗe;c i n t i n i r ɗ e
cippoo;c i p p oː
cirgu;c i r ɡ u
cirkaali;c i r k aː l i
ciwatel;c i w a t e l
ciwrugal;c i w r u ɡ a l
ciwtel;c i w t e l
cobbal;c o b b a l
coɓɓuli;c o ɓ ɓ u l i
coɓe;c o ɓ e
coɓuɗo;c o ɓ u ɗ o
coccorgal;c o c c o r ɡ a l
codal;c o d a l
coddungol;c o d d u ŋ ɡ o l
coɗe e bawle daabaaji;c o ɗ e   e   b a w l e   d aː b aː ɟ i
coɗondirol;c o ɗ o n d i r o l
coɗonndirol;c o ɗ o n n d i r o l
cofal;c o f a l
cofal dewal;c o f a l   d e w a l
cofal wallinoowal;c o f a l   w a l l i n oː w a l
cofel;c o f e l
coggal;c o ɡ ɡ a l
coggu;c o ɡ ɡ u
coggu dottaaɗo;c o ɡ ɡ u   d o t t aː ɗ o
cokirgal;c o k i r ɡ a l
cokke-dawaaɗi;c o k k e - d a w aː ɗ i
cokooɗe;c o k oː ɗ e
colel ɗahi;c o l e l   ɗ a h i
colla;c o l l a
collol;c o l l o l
colocolo;c o l o c o l o
cololoy;c o l o l o j
coloncokkuwal;c o l o n c o k k u w a l
colte;c o l t e
coltooji;c o l t oː ɟ i
coltu;c o l t u
colu;c o l u
come;c o m e
comri;c o m r i
conci;c o n c i
conndi;c o n n d i
cuurtinirɗe;c uː r t i n i r ɗ e
cuusal;c uː s a l
da'a;d a ʔ a
daa;d aː
daaba;d aː b a
daabaaji muyninooji;d aː b aː ɟ i   m u j n i n oː ɟ i
daabaaji nyaamooji fu;d aː b aː ɟ i   n j aː m oː ɟ i   f u
daabaaji-ladde;d aː b aː ɟ i - l a d d e
daabawal;d aː b a w a l
daaɓol;d aː ɓ o l
daada;d aː d a
daadi;d aː d i
Daado;d aː d o
daadoojo;d aː d oː ɟ o
daaɗe;d aː ɗ e
daago;d aː ɡ o
daakiɗinde;d aː k i ɗ i n d e
daalawal;d aː l a w a l
daalimpo;d aː l i m p o
daama;d aː m a
daamarawol;d aː m a r a w o l
daambol;d aː m b o l
daamihoonyoldu;d aː m i h oː n j o l d u
daande1;d aː n d e 1
daande2;d aː n d e 2
daande3;d aː n d e 3
daande4;d aː n d e 4
da'a;d a ʔ a
daa;d aː
daaba;d aː b a
daabaaji muyninooji;d aː b aː ɟ i   m u j n i n oː ɟ i
daabaaji nyaamooji fu;d aː b aː ɟ i   n j aː m oː ɟ i   f u
daabaaji-ladde;d aː b aː ɟ i - l a d d e
daabawal;d aː b a w a l
daaɓol;d aː ɓ o l
daada;d aː d a
daadi;d aː d i
Daado;d aː d o
daadoojo;d aː d oː ɟ o
daaɗe;d aː ɗ e
daago;d aː ɡ o
daakiɗinde;d aː k i ɗ i n d e
daalawal;d aː l a w a l
daalimpo;d aː l i m p o
daama;d aː m a
daamarawol;d aː m a r a w o l
daambol;d aː m b o l
daamihoonyoldu;d aː m i h oː n j o l d u
daande1;d aː n d e 1
daande2;d aː n d e 2
daande3;d aː n d e 3
daande4;d aː n d e 4
daande e daande;d aː n d e   e   d aː n d e
daande fotornde;d aː n d e   f o t o r n d e
daande junngo;d aː n d e   ɟ u n ŋ ɡ o
daande junngo silɓungo;d aː n d e   ɟ u n ŋ ɡ o   s i l ɓ u ŋ ɡ o
daande koyngal cilɓungal;d aː n d e   k o j ŋ ɡ a l   c i l ɓ u ŋ ɡ a l
daande lees;d aː n d e   l eː s
daande leyiire;d aː n d e   l e j iː r e
daande silɓunde;d aː n d e   s i l ɓ u n d e
daande toownde;d aː n d e   t oː w n d e
daande toownde haasaande;d aː n d e   t oː w n d e   h aː s aː n d e
daande wayloore karfeeje ɗiɗi;d aː n d e   w a j l oː r e   k a r f eː ɟ e   ɗ i ɗ i
daande-ndiyam;d aː n d e - n d i j a m
daandorgal;d aː n d o r ɡ a l
daanorgal;d aː n o r ɡ a l
daarngal;d aː r ŋ ɡ a l
daarnoowo;d aː r n oː w o
daarnude;d aː r n u d e
daasaade;d aː s aː d e
daasotoondi;d aː s o t oː n d i
daasude;d aː s u d e
daawal1;d aː w a l 1
daawal2;d aː w a l 2
Daawda;d aː w d a
daawtal;d aː w t a l
daawuwal;d aː w u w a l
daaƴorɗe;d aː ʔʲ o r ɗ e
daaƴude;d aː ʔʲ u d e
dabaade;d a b aː d e
dabaranke;d a b a r a n k e
dabare1;d a b a r e 1
dabare2;d a b a r e 2
dabare ɓantaare;d a b a r e   ɓ a n t aː r e
dabare partii politikki;d a b a r e   p a r t iː   p o l i t i k k i
dabare suuraare yimɓe;d a b a r e   s uː r aː r e   j i m ɓ e
dabbi;d a b b i
dabbude;d a b b u d e
dabbunde;d a b b u n d e
dabidabiwal;d a b i d a b i w a l
dabidabiyal;d a b i d a b i j a l
dabude;d a b u d e
daɓɓo;d a ɓ ɓ o
daɓɓosanne;d a ɓ ɓ o s a n n e
Dado;d a d o
daɗɗamaare;d a ɗ ɗ a m aː r e
daɗɗo;d a ɗ ɗ o
daɗɗo huɗo;d a ɗ ɗ o   h u ɗ o
daɗɗude;d a ɗ ɗ u d e
daɗɗugol;d a ɗ ɗ u ɡ o l
daɗinde;d a ɗ i n d e
daɗinnde;d a ɗ i n n d e
daɗnugol;d a ɗ n u ɡ o l
daɗondiral;d a ɗ o n d i r a l
daɗorgol;d a ɗ o r ɡ o l
daɗude;d a ɗ u d e
dagaade;d a ɡ aː d e
dagammeere;d a ɡ a m m eː r e
daggadaajo;d a ɡ ɡ a d aː ɟ o
dagu;d a ɡ u
dahoonyoldu;d a h oː n j o l d u
dak;d a k
dakaal;d a k aː l
dakiya;d a k i j a
dakiyel beembel;d a k i j e l   b eː m b e l
dakkude;d a k k u d e
dakoor;d a k oː r
daliili;d a l iː l i
daliili gollitirɗo;d a l iː l i   ɡ o l l i t i r ɗ o
daliili jiitaaɗo;d a l iː l i   ɟ iː t aː ɗ o
daliilinde;d a l iː l i n d e
daliilu;d a l iː l u
dalinde;d a l i n d e
dallin-a;d a l l i n - a
dallinal;d a l l i n a l
dallinde;d a l l i n d e
dallingol;d a l l i ŋ ɡ o l
dalliningol;d a l l i n i ŋ ɡ o l
damahoonyoldu;d a m a h oː n j o l d u
damal1;d a m a l 1
damal2;d a m a l 2
dambitaade;d a m b i t aː d e
dambugal;d a m b u ɡ a l
damdamtude;d a m d a m t u d e
damɗi;d a m ɗ i
damiyoore;d a m i j oː r e
dammbaade;d a m m b aː d e
dammbe;d a m m b e
dammbitaade;d a m m b i t aː d e
dammbu;d a m m b u
dammbude;d a m m b u d e
dammbugal;d a m m b u ɡ a l
dammbuwol cille;d a m m b u w o l   c i l l e
dammuccere;d a m m u c c e r e
dammude;d a m m u d e
dammuhol;d a m m u h o l
damngal;d a m ŋ ɡ a l
damngel;d a m ŋ ɡ e l
dampeede;d a m p eː d e
dampude;d a m p u d e
damƴude;d a m ʔʲ u d e
dandigeede;d a n d i ɡ eː d e
dandigi;d a n d i ɡ i
daneejo;d a n eː ɟ o
daneeri hitere;d a n eː r i   h i t e r e
daneeri-yitere;d a n eː r i - j i t e r e
dangel-muusuuru;d a ŋ ɡ e l - m uː s uː r u
Daniyel;d a n i j e l
dankamma;d a n k a m m a
dankere wattaande birgi;d a n k e r e   w a t t aː n d e   b i r ɡ i
dankere yoppanaande durngo;d a n k e r e   j o p p a n aː n d e   d u r ŋ ɡ o
danki;d a n k i
danki junngo;d a n k i   ɟ u n ŋ ɡ o
danki koyngal;d a n k i   k o j ŋ ɡ a l
dankude;d a n k u d e
danndaku;d a n n d a k u
danndi1;d a n n d i 1
danndi2;d a n n d i 2
danndorgal;d a n n d o r ɡ a l
dannga;d a n ŋ ɡ a
danngel;d a n ŋ ɡ e l
dannude;d a n n u d e
danŋeere;d a n ŋ eː r e
danyal;d a n j a l
danyude;d a n j u d e
dapansi;d a p a n s i
daraa;d a r aː
daraade;d a r aː d e
daral;d a r a l
daranaade partii;d a r a n aː d e   p a r t iː
daranagol kaane;d a r a n a ɡ o l   k aː n e
daranagol partii;d a r a n a ɡ o l   p a r t iː
dargiɗinde;d a r ɡ i ɗ i n d e
darii;d a r iː
daringol;d a r i ŋ ɡ o l
darja;d a r ɟ a
darjinde;d a r ɟ i n d e
darjingol;d a r ɟ i ŋ ɡ o l
darn-a hiisorde;d a r n - a   h iː s o r d e
darnde1;d a r n d e 1
darnde2;d a r n d e 2
darngal;d a r ŋ ɡ a l
darngo;d a r ŋ ɡ o
darnirde;d a r n i r d e
darnirgal;d a r n i r ɡ a l
darnitaade;d a r n i t aː d e
darnude;d a r n u d e
darnude leɗɗe;d a r n u d e   l e ɗ ɗ e
darnugol;d a r n u ɡ o l
darnugol fadde e ...;d a r n u ɡ o l   f a d d e   e   . . .
darnugol leɗɗe;d a r n u ɡ o l   l e ɗ ɗ e
darnugol wolde;d a r n u ɡ o l   w o l d e
darorde;d a r o r d e
darordemomilaaji;d a r o r d e m o m i l aː ɟ i
dartaade;d a r t aː d e
dartaaki;d a r t aː k i
dartiingol;d a r t iː ŋ ɡ o l
dartinaa;d a r t i n aː
dartinanɗe ndeenaagu dabareeji deenirɗi;d a r t i n a n ɗ e   n d eː n aː ɡ u   d a b a r eː ɟ i   d eː n i r ɗ i
dartinannde;d a r t i n a n n d e
dartinde;d a r t i n d e
dartol binndi;d a r t o l   b i n n d i
daruura;d a r uː r a
dasaade;d a s aː d e
dasol;d a s o l
dattaade;d a t t aː d e
dattude;d a t t u d e
dawa;d a w a
dawaaɗi;d a w aː ɗ i
dawaaru;d a w aː r u
dawaɗi;d a w a ɗ i
dawla;d a w l a
dawlinnde;d a w l i n n d e
dawrande;d a w r a n d e
dawrande politikkaarem;d a w r a n d e   p o l i t i k k aː r e m
dawridal jammba;d a w r i d a l   ɟ a m m b a
dawridinde;d a w r i d i n d e
dawroowo;d a w r oː w o
dawrude;d a w r u d e
dawrugol leydi;d a w r u ɡ o l   l e j d i
dawsaade;d a w s aː d e
dawude;d a w u d e
dawwa;d a w w a
de1;d e 1
de2;d e 2
debbo;d e b b o
debbo mawɗo;d e b b o   m a w ɗ o
debbo nayeejo;d e b b o   n a j eː ɟ o
debeere;d e b eː r e
debereedaaku;d e b e r eː d aː k u
debereedu;d e b e r eː d u
dee;d eː
deedi;d eː d i
deedi ɓattondirɗi;d eː d i   ɓ a t t o n d i r ɗ i
deedi ɗi parrite;d eː d i   ɗ i   p a r r i t e
deedol;d eː d o l
deegaade;d eː ɡ aː d e
deegaruwol;d eː ɡ a r u w o l
deege;d eː ɡ e
deelɗ-a;d eː l ɗ - a
deen;d eː n
deen kay;d eː n   k a j
deenaade;d eː n aː d e
deende;d eː n d e
deental;d eː n t a l
deereero;d eː r eː r o
deerel;d eː r e l
deerorɗinde;d eː r o r ɗ i n d e
deese;d eː s e
deesewal;d eː s e w a l
deewaliyason;d eː w a l i j a s o n
deewondirol;d eː w o n d i r o l
deeƴaade;d eː ʔʲ aː d e
deeƴinaade;d eː ʔʲ i n aː d e
defirde;d e f i r d e
deftere;d e f t e r e
defude;d e f u d e
defugol;d e f u ɡ o l
degereejo;d e ɡ e r eː ɟ o
dekaade;d e k aː d e
dekaagaraam;d e k aː ɡ a r aː m
dekaaliitar;d e k aː l iː t a r
dekaameeter;d e k aː m eː t e r
deke;d e k e
dekeede;d e k eː d e
dekeree;d e k e r eː
dekondirde;d e k o n d i r d e
duule;d uː l e
duuliyaaru;d uː l i j aː r u
duuluuru;d uː l uː r u
duumaade;d uː m aː d e
duumbaade;d uː m b aː d e
duumbo;d uː m b o
Duumiiɗo;d uː m iː ɗ o
duundere;d uː n d e r e
duuniyaaru;d uː n i j aː r u
duuru;d uː r u
duurude;d uː r u d e
duuydi;d uː j d i
duuyooje;d uː j oː ɟ e
duye;d u j e
ɗaalde;ɗ aː l d e
ɗaaloolu;ɗ aː l oː l u
ɗaamol;ɗ aː m o l
ɗaamon;ɗ aː m o n
ɗaanaade;ɗ aː n aː d e
ɗaanagol;ɗ aː n a ɡ o l
ɗaaniiɗam;ɗ aː n iː ɗ a m
ɗaaninde;ɗ aː n i n d e
ɗaanndi;ɗ aː n n d i
ɗaasa;ɗ aː s a
ɗaatngal;ɗ aː t ŋ ɡ a l
ɗaatude;ɗ aː t u d e
ɗaayɗo;ɗ aː j ɗ o
ɗaayre;ɗ aː j r e
ɗaayude;ɗ aː j u d e
ɗabbaade;ɗ a b b aː d e
ɗabbeede;ɗ a b b eː d e
ɗabbol;ɗ a b b o l
ɗabbude;ɗ a b b u d e
ɗaɓɓere;ɗ a ɓ ɓ e r e
ɗaɓɓere gosu winndaande;ɗ a ɓ ɓ e r e   ɡ o s u   w i n n d aː n d e
ɗaɓɓitinde;ɗ a ɓ ɓ i t i n d e
ɗaɓɓoowo;ɗ a ɓ ɓ oː w o
ɗaɓɓoowo gosee;ɗ a ɓ ɓ oː w o   ɡ o s eː
ɗaɓɓude;ɗ a ɓ ɓ u d e
ɗaalde;ɗ aː l d e
ɗaaloolu;ɗ aː l oː l u
ɗaamol;ɗ aː m o l
ɗaamon;ɗ aː m o n
ɗaanaade;ɗ aː n aː d e
ɗaanagol;ɗ aː n a ɡ o l
ɗaaniiɗam;ɗ aː n iː ɗ a m
ɗaaninde;ɗ aː n i n d e
ɗaanndi;ɗ aː n n d i
ɗaasa;ɗ aː s a
ɗaatngal;ɗ aː t ŋ ɡ a l
ɗaatude;ɗ aː t u d e
ɗaayɗo;ɗ aː j ɗ o
ɗaayre;ɗ aː j r e
ɗaayude;ɗ aː j u d e
ɗabbaade;ɗ a b b aː d e
ɗabbeede;ɗ a b b eː d e
ɗabbol;ɗ a b b o l
ɗabbude;ɗ a b b u d e
ɗaɓɓere;ɗ a ɓ ɓ e r e
ɗaɓɓere gosu winndaande;ɗ a ɓ ɓ e r e   ɡ o s u   w i n n d aː n d e
ɗaɓɓitinde;ɗ a ɓ ɓ i t i n d e
ɗaɓɓoowo;ɗ a ɓ ɓ oː w o
ɗaɓɓoowo gosee;ɗ a ɓ ɓ oː w o   ɡ o s eː
ɗaɓɓude;ɗ a ɓ ɓ u d e
ɗaccere;ɗ a c c e r e
ɗaccuki;ɗ a c c u k i
ɗaɗi aawitirdi nyaameteeɗi;ɗ a ɗ i   aː w i t i r d i   n j aː m e t eː ɗ i
ɗaɗi poofaali;ɗ a ɗ i   p oː f aː l i
ɗaɗol1;ɗ a ɗ o l 1
ɗaɗol2;ɗ a ɗ o l 2
ɗaɗol harfeere;ɗ a ɗ o l   h a r f eː r e
ɗaɗol ƴiiƴam;ɗ a ɗ o l   ʔʲ iː ʔʲ a m
ɗaɗol-giinol;ɗ a ɗ o l - ɡ iː n o l
ɗaɗol-hoorewol;ɗ a ɗ o l - h oː r e w o l
ɗaɗol-serawol;ɗ a ɗ o l - s e r a w o l
ɗagaade;ɗ a ɡ aː d e
